CATL 四层映射引擎 通用模板 - 手动输入总表,,,,,,,,,,,,,,,,,,,
说明：只有本 Sheet 允许手动修改。黄色列是实际输入值，模板默认填入通用示例值，后面所有 Sheet 都由公式自动拉取与计算。,,,,,,,,,,,,,,,,,,,
类别,字段代码,手动输入项（中文）,英文对应,单位,示例值,实际输入值,说明,常见证据,主要影响输出,字段数据类型,是否必填,录入方式,建议来源系统,字段责任人,保密等级,校验规则ID,缺口状态,可直接复用CATL公开披露?,下一步动作
D. 材料排放因子,copper_pcf,铜材排放因子,copper PCF,kgCO2e/kg,3.8,3.8,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,aluminium_direct_pcf,铝材直接排放因子,aluminium direct factor,kgCO2e/kg,9,9,可借用到 CBAM direct emissions,supplier PCF / 安装点数据,EU+CBAM,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,aluminium_indirect_pcf,铝材间接排放因子,aluminium indirect factor,kgCO2e/kg,5,5,可借用到 CBAM indirect emissions,supplier PCF / 电力因子,EU+CBAM,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,steel_direct_pcf,钢材直接排放因子,steel direct factor,kgCO2e/kg,2,2,可借用到 CBAM direct emissions,supplier PCF / 安装点数据,EU+CBAM,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,steel_indirect_pcf,钢材间接排放因子,steel indirect factor,kgCO2e/kg,0.7,0.7,可借用到 CBAM indirect emissions,supplier PCF / 电力因子,EU+CBAM,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,plastic_pcf,塑料件排放因子,plastic PCF,kgCO2e/kg,3,3,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
D. 材料排放因子,other_material_pcf,其他材料排放因子,other material PCF,kgCO2e/kg,2.3,2.3,供应商 PCF 或行业因子,供应商 PCF / 因子库,EU,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则
E. 制造能耗与工艺,grid_electricity_kwh,电网电使用量,grid electricity use,kWh/declared unit,450,450,按当前申报单元分摊后的电力使用量,电表/电费单,EU+CBAM,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-010,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,green_electricity_kwh,绿电使用量,green electricity use,kWh/declared unit,150,150,按当前申报单元分摊后的电力使用量,绿证/PPA/电表,EU,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-010,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,green_electricity_factor,绿电排放因子,green electricity factor,kgCO2e/kWh,0.05,0.05,模板示例因子,方法说明/因子库,EU,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,grid_electricity_factor,电网电排放因子,grid electricity factor,kgCO2e/kWh,0.55,0.55,模板示例因子,方法说明/因子库,EU+CBAM,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,steam_mj,蒸汽使用量,steam use,MJ/declared unit,220,220,按当前申报单元分摊后的能源使用量,蒸汽台账/发票,EU,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-010,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,steam_factor,蒸汽排放因子,steam factor,kgCO2e/MJ,0.07,0.07,模板示例因子,方法说明/因子库,EU,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,natural_gas_mj,天然气使用量,natural gas use,MJ/declared unit,120,120,按当前申报单元分摊后的能源使用量,燃气台账/发票,EU,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-010,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,natural_gas_factor,天然气排放因子,natural gas factor,kgCO2e/MJ,0.056,0.056,模板示例因子,方法说明/因子库,EU,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,direct_process_emissions,直接工艺排放,direct process emissions,kgCO2e/declared unit,18,18,按当前申报单元口径记录或分摊的排放结果,工艺排放记录,EU,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
E. 制造能耗与工艺,production_yield_pct,生产良率,production yield,%,0.94,0.94,良率越低单位排放越高,生产台账/MES,EU,百分比(0-1小数),是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-007,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据
F. 运输与生命周期,inbound_transport_kgco2,上游来料运输排放,inbound transport,kgCO2e/declared unit,24,24,按当前申报单元口径记录或分摊的排放结果,物流记录,EU,数值,是,LCA/物流数据录入,LCA模型/物流系统,LCA与物流团队,内部受限,VAL-010,需补生命周期边界说明,不可直接引用,确认边界、运输路径和回收方法学
F. 运输与生命周期,outbound_transport_kgco2,下游出货运输排放,outbound transport,kgCO2e/declared unit,18,18,按当前申报单元口径记录或分摊的排放结果,物流记录,EU,数值,是,LCA/物流数据录入,LCA模型/物流系统,LCA与物流团队,内部受限,VAL-010,需补生命周期边界说明,不可直接引用,确认边界、运输路径和回收方法学
F. 运输与生命周期,end_of_life_credit_kgco2,终端回收信用,end-of-life credit,kgCO2e/declared unit,-15,-15,按当前申报单元口径记录或分摊的排放结果,回收方案/方法学,EU,数值,是,LCA/物流数据录入,LCA模型/物流系统,LCA与物流团队,内部受限,VAL-001,需补生命周期边界说明,不可直接引用,确认边界、运输路径和回收方法学
G. 再生材料,recycled_cobalt_pct,再生钴占比,recycled cobalt share,%,0,0,LFP 常为 0,质量平衡/供应商声明,EU,百分比(0-1小数),条件必填,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明
G. 再生材料,recycled_lithium_pct,再生锂占比,recycled lithium share,%,0.08,0.08,欧盟电池法重点项,质量平衡/供应商声明,EU,百分比(0-1小数),是,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明
G. 再生材料,recycled_nickel_pct,再生镍占比,recycled nickel share,%,0,0,LFP 常为 0,质量平衡/供应商声明,EU,百分比(0-1小数),条件必填,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明
G. 再生材料,recycled_lead_pct,再生铅占比,recycled lead share,%,0,0,动力电池场景通常较低,质量平衡/供应商声明,EU,百分比(0-1小数),条件必填,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明
G. 再生材料,recycled_aluminium_pct,再生铝占比,recycled aluminium share,%,0.18,0.18,有助于上游减碳叙事,质量平衡/供应商声明,EU+CBAM,百分比(0-1小数),是,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明
