字段字典：把每个输入字段背后的治理信息写清楚,,,,,,,,,,,,,,
这个 Sheet 是整个工作簿的元数据中心。01_手动输入右侧的治理列全部从这里自动带出。,,,,,,,,,,,,,,
原类别,字段代码,中文字段名,字段数据类型,是否必填,录入方式,建议来源系统,字段责任人,保密等级,校验规则ID,缺口状态,可直接复用CATL公开披露?,下一步动作,主要影响输出,当前字段说明
A. 基本身份,assembly_site_name,总成装配地点名称,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,若产品是系统级或 pack 级，这个字段可以承接最终装配环节
A. 基本身份,assembly_site_country,总成装配地点国家/地区,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,便于后续扩展欧洲本地装配或多地装配的场景
A. 基本身份,product_series,产品系列/平台,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,用于兼容不同产品线，例如神行、麒麟、储能系统等
A. 基本身份,application_scenario,应用场景,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,用于区分动力、储能或其他产品场景
A. 基本身份,product_level,申报对象层级,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,通用模板必须允许不同申报对象层级
A. 基本身份,declared_unit,申报单位,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,便于未来不同产品或系统级申报
A. 基本身份,destination_market,目标市场,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,同一模板可扩展到不同市场版本
A. 基本身份,plant_country,制造工厂所在国家,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,为未来跨境工厂和欧洲本地工厂预留接口
A. 基本身份,cell_form_factor,电芯形态,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-009,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,为不同产品平台预留结构差异接口
A. 基本身份,architecture_type,系统架构类型,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-001,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,避免模板只绑定到神行 CTP 场景
A. 基本身份,total_product_mass_kg,产品总质量,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-008,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,为不同产品级别和系统级方案预留总质量接口
A. 基本身份,pcf_method_version,碳足迹方法版本,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-009,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,记录当前产品采用哪一版方法学
A. 基本身份,factor_library_version,因子库版本,文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-009,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,为中欧因子口径转换和版本管理预留接口
A. 基本身份,verification_report_id,核验报告编号,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU+CBAM,便于后续把第三方核验真正挂接到字段层
A. 基本身份,pack_capacity_kwh,申报单元额定容量,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-003,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,无论当前申报对象是 cell、module、pack 还是 system，都按当前申报单元填写容量
A. 基本身份,nominal_voltage_v,标称电压,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-004,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,产品公开参数
A. 基本身份,cycle_life_cycles,循环寿命,数值,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-004,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,护照参数层
A. 基本身份,individual_battery_prefix,个体电池编码前缀,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,模板前缀，后续可扩展为任意序列化规则
A. 基本身份,due_diligence_policy_url,尽调政策链接,链接文本,是,主数据人工确认,法务/官网政策库,法务与尽调团队,公开或低敏,VAL-015,可直接复用,可直接引用,补安装点ID、核验报告和访问权限控制,EU,尽调公开字段
A. 基本身份,qr_object_id,护照对象 ID,标识符文本,是,主数据人工确认,PLM/主数据系统,产品主数据团队,内部受限,VAL-002,需拆分到产品/工厂级,部分可引用,补安装点ID、核验报告和访问权限控制,EU,数字护照对象键
B. 合规准备状态,pcf_study_status,产品碳足迹研究底稿状态,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU,碳足迹声明底稿是否齐备
B. 合规准备状态,test_report_status,测试报告状态,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU,正式合规评估硬材料
B. 合规准备状态,technical_doc_status,技术文档状态,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU,Annex VIII 关键材料
B. 合规准备状态,third_party_verification_status,第三方核验状态,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU+CBAM,碳足迹/再生料/上游 PCF 关键状态
B. 合规准备状态,passport_data_package_status,护照数据包状态,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU,决定护照对象能否生成
B. 合规准备状态,access_matrix_status,分层访问矩阵状态,状态文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-006,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU+CBAM,保护数据主权的关键控制项
B. 合规准备状态,supplier_traceability_coverage_pct,供应链追溯覆盖率,百分比(0-1小数),是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-007,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU+CBAM,越高越能支撑尽调与追溯
B. 合规准备状态,supplier_pcf_coverage_pct,供应商 PCF 覆盖率,百分比(0-1小数),是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-007,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU+CBAM,决定上游碳数据基础强度
B. 合规准备状态,critical_material_scope,关键原材料追溯范围,文本,是,合规状态人工确认,合规项目台账,法规合规团队,内部受限,VAL-001,需建立正式核验链,部分可引用,补齐正式证据包并挂到证据台账,EU+CBAM,当前模板默认覆盖的关键原材料，可按实际产品扩展或缩减
C. 材料用量,cathode_mass_kg,正极材料质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU,按当前申报单元填报，而不是默认按单个电池包填报
C. 材料用量,anode_mass_kg,负极材料质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU,按当前申报单元填报，而不是默认按单个电池包填报
C. 材料用量,electrolyte_mass_kg,电解液质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU,按当前申报单元填报，而不是默认按单个电池包填报
C. 材料用量,separator_mass_kg,隔膜质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU,按当前申报单元填报，而不是默认按单个电池包填报
C. 材料用量,copper_mass_kg,铜材质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU,按当前申报单元填报，而不是默认按单个电池包填报
C. 材料用量,aluminium_mass_kg,铝材质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU+CBAM,按当前申报单元填报，而不是默认按单个电池包填报
C. 材料用量,steel_mass_kg,钢材质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU+CBAM,按当前申报单元填报，而不是默认按单个电池包填报
C. 材料用量,plastic_mass_kg,塑料件质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU,按当前申报单元填报，而不是默认按单个电池包填报
C. 材料用量,other_material_mass_kg,其他材料质量,数值,是,BOM/配方数据录入,ERP+BOM+PLM,研发BOM/LCA团队,商业敏感,VAL-008,需绑定供应商/工厂明细,不可直接引用,补到供应商/材料级并绑定真实BOM,EU,按当前申报单元填报，而不是默认按单个电池包填报
D. 材料排放因子,cathode_pcf,正极材料排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU,供应商 PCF 或行业因子
D. 材料排放因子,anode_pcf,负极材料排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU,供应商 PCF 或行业因子
D. 材料排放因子,electrolyte_pcf,电解液排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU,供应商 PCF 或行业因子
D. 材料排放因子,separator_pcf,隔膜排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU,供应商 PCF 或行业因子
D. 材料排放因子,copper_pcf,铜材排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU,供应商 PCF 或行业因子
D. 材料排放因子,aluminium_direct_pcf,铝材直接排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU+CBAM,可借用到 CBAM direct emissions
D. 材料排放因子,aluminium_indirect_pcf,铝材间接排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU+CBAM,可借用到 CBAM indirect emissions
D. 材料排放因子,steel_direct_pcf,钢材直接排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU+CBAM,可借用到 CBAM direct emissions
D. 材料排放因子,steel_indirect_pcf,钢材间接排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU+CBAM,可借用到 CBAM indirect emissions
D. 材料排放因子,plastic_pcf,塑料件排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU,供应商 PCF 或行业因子
D. 材料排放因子,other_material_pcf,其他材料排放因子,数值,是,供应商PCF/因子库录入,供应商PCF库/因子库,采购与碳核算团队,商业敏感,VAL-009,需欧盟口径转换,不可直接引用,建立中国口径到欧盟口径的因子转换规则,EU,供应商 PCF 或行业因子
E. 制造能耗与工艺,grid_electricity_kwh,电网电使用量,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-010,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU+CBAM,按当前申报单元分摊后的电力使用量
E. 制造能耗与工艺,green_electricity_kwh,绿电使用量,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-010,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU,按当前申报单元分摊后的电力使用量
E. 制造能耗与工艺,green_electricity_factor,绿电排放因子,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU,模板示例因子
E. 制造能耗与工艺,grid_electricity_factor,电网电排放因子,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU+CBAM,模板示例因子
E. 制造能耗与工艺,steam_mj,蒸汽使用量,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-010,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU,按当前申报单元分摊后的能源使用量
E. 制造能耗与工艺,steam_factor,蒸汽排放因子,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU,模板示例因子
E. 制造能耗与工艺,natural_gas_mj,天然气使用量,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-010,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU,按当前申报单元分摊后的能源使用量
E. 制造能耗与工艺,natural_gas_factor,天然气排放因子,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU,模板示例因子
E. 制造能耗与工艺,direct_process_emissions,直接工艺排放,数值,是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-009,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU,按当前申报单元口径记录或分摊的排放结果
E. 制造能耗与工艺,production_yield_pct,生产良率,百分比(0-1小数),是,MES/EMS/EHS数据录入,MES+EMS+EHS,工厂EHS与能源团队,高度敏感,VAL-007,需工厂级实时取数,不可直接引用,接MES/EMS并补工厂级电力与工艺证据,EU,良率越低单位排放越高
F. 运输与生命周期,inbound_transport_kgco2,上游来料运输排放,数值,是,LCA/物流数据录入,LCA模型/物流系统,LCA与物流团队,内部受限,VAL-010,需补生命周期边界说明,不可直接引用,确认边界、运输路径和回收方法学,EU,按当前申报单元口径记录或分摊的排放结果
F. 运输与生命周期,outbound_transport_kgco2,下游出货运输排放,数值,是,LCA/物流数据录入,LCA模型/物流系统,LCA与物流团队,内部受限,VAL-010,需补生命周期边界说明,不可直接引用,确认边界、运输路径和回收方法学,EU,按当前申报单元口径记录或分摊的排放结果
F. 运输与生命周期,end_of_life_credit_kgco2,终端回收信用,数值,是,LCA/物流数据录入,LCA模型/物流系统,LCA与物流团队,内部受限,VAL-001,需补生命周期边界说明,不可直接引用,确认边界、运输路径和回收方法学,EU,按当前申报单元口径记录或分摊的排放结果
G. 再生材料,recycled_cobalt_pct,再生钴占比,百分比(0-1小数),条件必填,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明,EU,LFP 常为 0
G. 再生材料,recycled_lithium_pct,再生锂占比,百分比(0-1小数),是,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明,EU,欧盟电池法重点项
G. 再生材料,recycled_nickel_pct,再生镍占比,百分比(0-1小数),条件必填,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明,EU,LFP 常为 0
G. 再生材料,recycled_lead_pct,再生铅占比,百分比(0-1小数),条件必填,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明,EU,动力电池场景通常较低
G. 再生材料,recycled_aluminium_pct,再生铝占比,百分比(0-1小数),是,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明,EU+CBAM,有助于上游减碳叙事
G. 再生材料,recycled_steel_pct,再生钢占比,百分比(0-1小数),是,采购/质量平衡录入,采购/质量平衡台账,采购与再生材料团队,内部受限,VAL-007,需质量平衡与供应商证明,部分可引用,补质量平衡证明和再生料来源证明,EU+CBAM,有助于上游减碳叙事
H. CBAM 影子输入,aluminium_supplier_installation_id,铝材供应商安装点 ID,标识符文本,是,供应商接口/人工确认,供应商主数据/CBAM影子台账,采购与上游核验团队,高度敏感,VAL-013,需安装点级与核验数据,不可直接引用,补安装点ID、核验报告和访问权限控制,CBAM,借鉴 CBAM installation 逻辑
H. CBAM 影子输入,steel_supplier_installation_id,钢材供应商安装点 ID,标识符文本,是,供应商接口/人工确认,供应商主数据/CBAM影子台账,采购与上游核验团队,高度敏感,VAL-013,需安装点级与核验数据,不可直接引用,补安装点ID、核验报告和访问权限控制,CBAM,借鉴 CBAM installation 逻辑
H. CBAM 影子输入,upstream_reporting_period,上游材料报告期,文本,是,供应商接口/人工确认,供应商主数据/CBAM影子台账,采购与上游核验团队,高度敏感,VAL-012,需安装点级与核验数据,不可直接引用,补安装点ID、核验报告和访问权限控制,CBAM,最好与产品报告期对齐
H. CBAM 影子输入,aluminium_verifier_status,铝材核验状态,状态文本,是,供应商接口/人工确认,供应商主数据/CBAM影子台账,采购与上游核验团队,高度敏感,VAL-006,需安装点级与核验数据,不可直接引用,补安装点ID、核验报告和访问权限控制,CBAM,体现 verifier discipline
H. CBAM 影子输入,steel_verifier_status,钢材核验状态,状态文本,是,供应商接口/人工确认,供应商主数据/CBAM影子台账,采购与上游核验团队,高度敏感,VAL-006,需安装点级与核验数据,不可直接引用,补安装点ID、核验报告和访问权限控制,CBAM,体现 verifier discipline
